home.team,away.team,home.wins,away.wins
GCT,SOU,0,1
GCT,NZL,0,1
GCT,CBY,1,0
GCT,MEL,0,1
GCT,PEN,0,1
GCT,PAR,0,0
GCT,CAN,1,1
GCT,SGI,0,1
CAN,BRO,0,0
CAN,NEW,0,1
CAN,MAN,1,1
CAN,NQL,1,0
CAN,CRO,0,1
CAN,WST,1,0
CAN,SYD,0,0
CAN,SOU,0,1
CAN,NZL,0,1
CAN,CBY,1,0
CAN,MEL,0,0
CAN,PEN,0,1
CAN,PAR,1,0
CAN,GCT,1,1
CAN,SGI,0,1
